type,w_acc,w_miss,w_drowsy,ARI,NMI,Spearman_r,Pct_Match
Grid Sweep,1.5,0.3,0.5,0.34592477330042387,0.46806458681761615,0.9185789433559504,75.92592592592592
Grid Sweep,1.5,0.3,0.7,0.22297583969421078,0.41691621113082805,0.905389951970725,64.81481481481481
Grid Sweep,1.5,0.5,0.0,0.39767966675098015,0.48112645059327275,0.9088206144697721,79.62962962962963
Grid Sweep,1.5,0.5,0.1,0.44111405913827756,0.5563540851136258,0.9318441716855989,81.48148148148148
Grid Sweep,1.5,0.5,0.3,0.4894290120397864,0.6368332107992194,0.9752992300068614,83.33333333333334
Grid Sweep,1.5,0.5,0.5,0.7407212053373704,0.7768876345226907,0.9799496836166807,92.5925925925926
Grid Sweep,1.5,0.5,0.7,0.5468528051969203,0.6246982864539793,0.9709537241747351,85.18518518518519
Grid Sweep,1.5,0.7,0.0,0.5248109339407745,0.5035511712080699,0.9326065411298315,83.33333333333334
Grid Sweep,1.5,0.7,0.1,0.47197381978316233,0.5680735969540758,0.961805290843943,81.48148148148148
Grid Sweep,1.5,0.7,0.3,0.7288265103399373,0.7169195607699096,0.9935198597240222,90.74074074074075
Grid Sweep,1.5,0.7,0.5,1.0,1.0,0.9978653655561486,100.0
Grid Sweep,1.5,0.7,0.7,0.891086938652492,0.8518719976137076,0.9894030647251659,96.29629629629629
Grid Sweep,1.5,1.0,0.0,0.6968502687971214,0.6557435339581626,0.9387817336281163,88.88888888888889
Grid Sweep,1.5,1.0,0.1,0.7568299633933616,0.7327682036812452,0.9541815964016164,90.74074074074075
Grid Sweep,1.5,1.0,0.3,0.8198675510243765,0.7849644569862457,0.9764427841732104,92.5925925925926
Grid Sweep,1.5,1.0,0.5,0.7568299633933616,0.7327682036812452,0.9824655027826485,90.74074074074075
Grid Sweep,1.5,1.0,0.7,0.7265172423005077,0.7110222602792922,0.9744606236182054,88.88888888888889
"Objective (PCA: 0.17, -0.88, -0.45)",0.1722326627882661,0.878593050834561,0.44543255482068433,0.08075353935607621,0.08624741289048246,-0.44293664709918434,16.666666666666664
"Equal Weights (1.0, -1.0, -1.0)",1.0,1.0,1.0,0.2677719713207144,0.44410718174544794,0.8889990089197225,64.81481481481481
"Accuracy Only (1.0, 0.0, 0.0)",1.0,0.0,0.0,0.1858497134593755,0.26331400508909864,0.6387656627272155,66.66666666666666
"Accuracy + Misses Only (1.0, -0.5, 0.0)",1.0,0.5,0.0,0.6370518566915362,0.5650423595357538,0.9372569947396509,87.03703703703704
